total_return,annual_return,volatility,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,direction_accuracy,win_rate,profit_factor,n_trades,total_commission,symbol,model_type,model_id,benchmark_return,excess_return
0.30131634206295876,0.326347704874707,0.2253094965985533,-0.15169279159770302,1.4484418535459214,2.2678162904580854,2.1513725302135494,0.574468085106383,0.0,1.2681463747140582,1,1300.0,AAPL,lightgbm,lightgbm_AAPL_20260209_161618,0.3030102553949714,-0.001693913332012631
-0.1466247025496018,-0.15635699412214066,0.2143018182515487,-0.2805664640411992,-0.7296111409498538,-0.6754221807492568,-0.5572903898421043,0.46382978723404256,0.5849056603773585,1.0027945499869555,107,135667.04,AMZN,lightgbm,lightgbm_AMZN_20260209_162056,0.4107223174606396,-0.5573470200102414
0.2895428644472957,0.3134839011792214,0.2853658186206958,-0.22064849124214012,1.0985334637989694,1.5351183277186855,1.4207389292102774,0.5957446808510638,0.75,1.2233116499700665,9,12510.390000000001,GOOGL,lightgbm,lightgbm_GOOGL_20260209_162023,0.290741413158059,-0.001198548710763303
0.014222644821710428,0.015259328659809723,0.18005638534638208,-0.15708117766283686,0.0847475007923474,0.09086067819821526,0.09714294791297494,0.5531914893617021,0.4411764705882353,1.1471407531768307,69,91394.80000000002,MSFT,lightgbm,lightgbm_MSFT_20260209_162156,0.06321244129261094,-0.048989796470900515
1.2383590227933876,1.372705371539669,0.5332327279087091,-0.27046758292369294,2.5743081767004368,4.269832242540985,5.075304613961632,0.5446808510638298,0.0,1.3760292422100413,1,1300.0,NVDA,lightgbm,lightgbm_NVDA_20260209_162016,1.241272677273845,-0.0029136544804573283
-0.01727923830765654,-0.018517582712946457,0.1305770029604593,-0.08141168677090087,-0.141813506920157,-0.10443201868918628,-0.22745607476548724,0.4297872340425532,0.5,0.9866951305725025,4,5328.17,AAPL,lstm,lstm_AAPL_20260209_161353,0.3030102553949714,-0.32028949370262794
0.09576215307201541,0.10303524576678735,0.09814293603224418,-0.037579051004723044,1.0498488218544413,1.0145358857676,2.7418267096164186,0.4765957446808511,1.0,2.413896747767458,2,2726.35,AMZN,lstm,lstm_AMZN_20260209_162046,0.4107223174606396,-0.3149601643886242
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40425531914893614,0.0,inf,0,0.0,GOOGL,lstm,lstm_GOOGL_20260209_162051,0.290741413158059,-0.290741413158059
0.07285647178580068,0.07832834068838102,0.10778063083038851,-0.07371950613233866,0.7267385622528433,0.434390323378269,1.062518521865417,0.5234042553191489,1.0,1.2984252957425775,4,5486.68,MSFT,lstm,lstm_MSFT_20260209_162151,0.06321244129261094,0.009644030493189737
1.2383590227933876,1.372705371539669,0.5332327279087091,-0.27046758292369294,2.5743081767004368,4.269832242540985,5.075304613961632,0.5446808510638298,0.0,1.3760292422100413,1,1300.0,NVDA,lstm,lstm_NVDA_20260209_162101,1.241272677273845,-0.0029136544804573283
0.13727017118814433,0.147902095078839,0.1546544794895348,-0.12064507981840294,0.9563389018347009,1.1625752638934366,1.2259272844069877,0.46808510638297873,0.6923076923076923,1.434064079045342,27,38181.189999999995,AAPL,transformer,transformer_AAPL_20260209_161612,0.3030102553949714,-0.16574008420682707
0.0842317775945105,0.09059344181122775,0.08316380008785976,-0.04459245656775287,1.0893374486918446,0.3883824605760667,2.0315867028671524,0.4978723404255319,0.6666666666666666,2.1009943430345537,6,8010.55,AMZN,transformer,transformer_AMZN_20260209_162043,0.4107223174606396,-0.3264905398661291
-0.04811354987388361,-0.05150294878366779,0.10970734332466751,-0.1002763112540594,-0.4694576244659407,-0.2904476527209596,-0.5136103247075,0.40425531914893614,0.5,0.9000583999692322,13,17099.19,GOOGL,transformer,transformer_GOOGL_20260209_162120,0.290741413158059,-0.3388549630319426
-0.04287877769420312,-0.04590836816722865,0.1973132224885258,-0.19246698943261356,-0.23266746945911504,-0.2795732201067499,-0.23852593269404293,0.5063829787234042,0.3333333333333333,0.9917887296986002,13,16301.020000000002,MSFT,transformer,transformer_MSFT_20260209_162144,0.06321244129261094,-0.10609121898681406
0.2650773071639616,0.28677986742756456,0.34313539415890737,-0.18827987329391538,0.8357630029117767,0.8219428090448868,1.5231573211220788,0.4808510638297872,0.6,1.3801292402349772,20,33790.850000000006,NVDA,transformer,transformer_NVDA_20260209_162010,1.241272677273845,-0.9761953701098833
0.17373740631682288,0.1874182986487678,0.14312023358813106,-0.13892176343922097,1.3095164390809824,1.4857080285936768,1.3490924244620919,0.4723404255319149,0.4666666666666667,1.7151727939049586,60,77900.74,AAPL,xgboost,xgboost_AAPL_20260209_161614,0.3030102553949714,-0.1292728490781485
0.15585288095096028,0.16802720374319113,0.20068700603064463,-0.14447992989998085,0.8372600053514856,1.087163274774227,1.162979549197673,0.502127659574468,0.5227272727272727,1.4103445612194565,89,125481.24000000002,AMZN,xgboost,xgboost_AMZN_20260209_162018,0.4107223174606396,-0.2548694365096793
0.08749136237256416,0.09410971726098749,0.2638540533765511,-0.22212704366854685,0.3566733808204255,0.4201303196461124,0.42367518923727254,0.5404255319148936,0.71875,1.1864644578444425,64,79529.82999999997,GOOGL,xgboost,xgboost_GOOGL_20260209_162122,0.290741413158059,-0.20325005078549485
0.17561159299886597,0.1894516076702204,0.14992335440191737,-0.0782255660671699,1.2636564091431342,1.295501073975138,2.421863045484952,0.5234042553191489,0.5581395348837209,1.564039323246315,87,124232.71999999999,MSFT,xgboost,xgboost_MSFT_20260209_162125,0.06321244129261094,0.11239915170625503
